opera_title	 opera_description	 date	 role	 artist	 url
MOROZKO	No info	January, 02 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
MOROZKO	No info	January, 04 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
EUGENE ONEGIN	No info	January, 08 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
MOROZKO	No info	January, 09 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
PRINCE IGOR	No info	January, 10 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
LA TRAVIATA 	No info	January, 13 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
RIGOLETTO 	No info	January, 15 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
THE QUEEN OF SPADES 	No info	January, 24 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=1
MADAMA BUTTERFLY 	No info	February, 03 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=2
THE QUEEN OF SPADES 	No info	February, 05 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=2
PRINCE IGOR	No info	February, 07 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=2
EUGENE ONEGIN	No info	February, 12 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=2
LA TRAVIATA 	No info	February, 14 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=2
RIGOLETTO 	No info	February, 26 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=2
THE QUEEN OF SPADES 	No info	March, 06 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=3
MADAMA BUTTERFLY 	No info	March, 07 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=3
PRINCE IGOR	No info	March, 14 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=3
EUGENE ONEGIN	No info	March, 17 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=3
LA TRAVIATA 	No info	March, 21 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=3
EUGENE ONEGIN	No info	April, 14 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=4
RIGOLETTO 	No info	April, 16 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=4
PRINCE IGOR	No info	April, 18 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=4
THE QUEEN OF SPADES 	No info	April, 25 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=4
MADAMA BUTTERFLY 	No info	April, 28 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=4
LA TRAVIATA 	No info	April, 30 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=4
EUGENE ONEGIN	No info	May, 05 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=5
THE QUEEN OF SPADES 	No info	May, 07 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=5
RIGOLETTO 	No info	May, 21 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=5
LA TRAVIATA 	No info	June, 11 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=6
MADAMA BUTTERFLY 	No info	June, 18 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=6
THE QUEEN OF SPADES 	No info	June, 20 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=6
EUGENE ONEGIN	No info	October, 01 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
PRINCE IGOR	No info	October, 03 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
RIGOLETTO 	No info	October, 06 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
THE QUEEN OF SPADES 	No info	October, 15 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
EUGENE ONEGIN	No info	October, 20 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
THE QUEEN OF SPADES 	No info	October, 24 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
PRINCE IGOR	No info	October, 27 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=10
PRINCE IGOR	No info	November, 05 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=11
THE QUEEN OF SPADES 	No info	November, 07 2009	No info	No info	http://www.uralopera.ru/en/playbill.php/?param=month&year=2009&month=11
