opera_title	 opera_description	 date	 role	 artist	 url
La Bayadere	Ballet in three acts	20130124190000	Nikia	Svetlana Zakharova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Gamzatti, his daughter	Maria Alexandrova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Solor, the noble warrior	Vladislav Lantratov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Toloragva, warrior	Alexander Voytyuk	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	A Slave	Denis Rodkin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Magedaveya, fakir	Anton Savichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Aya, slave	Anastasia Vinokur	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Gumpe	Svetlana Pavlova,Yulia Skvortsova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Grand Pas	Anastasia Gubanova,Angelina Karpova,Elizaveta Kruteleva,Anna Leonova,Svetlana Pavlova,Yulia Skvortsova,Karim Abdullin,Ivan Alexeyev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Dance with drum	Anna Antropova,Vitaly Biktimirov,Igor Tsvirko	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	The Bronze Idol	Denis Medvedev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Manu (Dance with Jug)	Anna Rebetskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Scene "Shadows"First Variation		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Second Variation	Anna Tikhomirova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Third Variation	Chinara Alizade	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130124190000	Conductor	Pavel Sorokin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Nikia	Ekaterina Krysanova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Gamzatti, his daughter	Kristina Kretova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Solor, the noble warrior	Dmitry Gudanov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Toloragva, warrior	Ivan Alexeyev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	A Slave	Egor Khromushin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Magedaveya, fakir	Igor Tsvirko	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Aya, slave	Kristina Karasyova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Gumpe	Svetlana Gnedova,Victoria Litvinova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Grand Pas	Daria Bochkova,Yulia Grebenshchikova,Anastasia Gubanova,Angelina Karpova,Olga Marchenkova,Svetlana Pavlova,Yulia Skvortsova,Ana Turazashvili,Karim Abdullin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Dance with drum	Anna Balukova,Vitaly Biktimirov,Alexei Matrakhov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	The Bronze Idol	Andrei Bolotin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Manu (Dance with Jug)	Chinara Alizade	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Scene "Shadows"First Variation	Maria Vinogradova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Second Variation	Daria Khokhlova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Third Variation		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130126190000	Conductor	Pavel Sorokin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Nikia	Svetlana Zakharova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Gamzatti, his daughter	Maria Alexandrova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Solor, the noble warrior	Vladislav Lantratov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Toloragva, warrior	Alexander Voytyuk	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	A Slave	Denis Rodkin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Magedaveya, fakir	Anton Savichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Aya, slave	Anastasia Vinokur	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Gumpe	Svetlana Pavlova,Yulia Skvortsova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Grand Pas	Anastasia Gubanova,Angelina Karpova,Elizaveta Kruteleva,Anna Leonova,Svetlana Pavlova,Yulia Skvortsova,Karim Abdullin,Ivan Alexeyev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Dance with drum	Anna Antropova,Vitaly Biktimirov,Igor Tsvirko	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	The Bronze Idol	Denis Medvedev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Manu (Dance with Jug)	Anna Rebetskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Scene "Shadows"First Variation		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Second Variation	Anna Tikhomirova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Third Variation	Chinara Alizade	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130127190000	Conductor	Pavel Sorokin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Nikia	Anna Nikulina	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Dugmanta, Rajah	Ilya Vorontsov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Gamzatti, his daughter	Maria Allash	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Solor, the noble warrior	Alexander Volchkov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	The High Brahmin	Alexander Fadeyechev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Toloragva, warrior	Yuri Baranov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	A Slave	Egor Khromushin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Magedaveya, fakir	Yan Godovsky	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Aya, slave	Irina Semirechenskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Gumpe	Svetlana Pavlova,Yulia Skvortsova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Grand Pas	Daria Bochkova,Yulia Grebenshchikova,Angelina Karpova,Elizaveta Kruteleva,Olga Marchenkova,Margarita Shrainer,Yulia Skvortsova,Dmitry Efremov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Dance with drum	Victoria Litvinova,Denis Medvedev,Denis Savin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	The Bronze Idol	Igor Tsvirko	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Manu (Dance with Jug)	Chinara Alizade	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Scene "Shadows"First Variation		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Second Variation	Anna Okuneva	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Third Variation	Ana Turazashvili	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130129190000	Conductor	Pavel Klinichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Nikia	Evgenia Obraztsova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Gamzatti, his daughter	Anna Tikhomirova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Solor, the noble warrior	Mikhail Lobukhin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Toloragva, warrior	Alexander Vorobiyov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	A Slave	Egor Khromushin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Magedaveya, fakir	Igor Tsvirko	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Aya, slave	Anastasia Vinokur	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Gumpe	Svetlana Gnedova,Victoria Litvinova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Grand Pas	Daria Bochkova,Anastasia Gubanova,Anna Leonova,Margarita Shrainer,Yulia Skvortsova,Karim Abdullin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Dance with drum	Xenia Sorokina,Alexei Matrakhov,Denis Savin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	The Bronze Idol	Andrei Bolotin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Manu (Dance with Jug)	Anna Rebetskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Scene "Shadows"First Variation	Elizaveta Kruteleva	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Second Variation	Svetlana Pavlova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Third Variation	Chinara Alizade	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130130190000	Conductor	Pavel Sorokin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Nikia	Anna Nikulina	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Gamzatti, his daughter	Ekaterina Shipulina	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Solor, the noble warrior	Semyon Chudin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Toloragva, warrior	Alexander Vorobiyov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	A Slave	Denis Rodkin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Magedaveya, fakir	Anton Savichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Aya, slave	Irina Semirechenskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Gumpe	Svetlana Gnedova,Victoria Litvinova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Grand Pas	Yulia Grebenshchikova,Anastasia Gubanova,Elizaveta Kruteleva,Olga Marchenkova,Svetlana Pavlova,Yulia Skvortsova,Ana Turazashvili,Ivan Alexeyev,Egor Khromushin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Dance with drum	Kristina Karasyova,Andrei Bolotin,Evgeny Golovin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	The Bronze Idol	Mikhail Kochan	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Manu (Dance with Jug)		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Scene "Shadows"First Variation	Maria Vinogradova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Second Variation	Angelina Karpova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Third Variation		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130131190000	Conductor	Pavel Klinichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Nikia	Olga Smirnova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Gamzatti, his daughter		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Solor, the noble warrior	Semyon Chudin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Toloragva, warrior	Alexander Voytyuk	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	A Slave	Ivan Alexeyev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Magedaveya, fakir	Anton Savichev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Aya, slave	Kristina Karasyova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Gumpe	Svetlana Pavlova,Maria Prorvich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Grand Pas	Daria Bochkova,Yulia Grebenshchikova,Angelina Karpova,Elizaveta Kruteleva,Olga Marchenkova,Svetlana Pavlova,Margarita Shrainer,Dmitry Efremov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Dance with drum	Victoria Litvinova,Alexei Matrakhov,Denis Savin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	The Bronze Idol	Denis Medvedev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Manu (Dance with Jug)	Anna Rebetskaya	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Scene "Shadows"First Variation		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Second Variation	Anna Okuneva	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Third Variation	Ana Turazashvili	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504120000	Conductor	Pavel Sorokin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Nikia	Evgenia Obraztsova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Dugmanta, Rajah	Alexei Loparevich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Gamzatti, his daughter	Anna Tikhomirova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Solor, the noble warrior	Alexander Volchkov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	The High Brahmin	Andrei Sitnikov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Toloragva, warrior	Alexander Vorobiyov	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	A Slave	Egor Khromushin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Magedaveya, fakir	Yan Godovsky	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Aya, slave	Anastasia Vinokur	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Gumpe	Svetlana Gnedova,Victoria Litvinova	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Grand Pas	Daria Bochkova,Elizaveta Kruteleva,Anna Leonova,Yanina Parienko,Svetlana Pavlova,Margarita Shrainer,Karim Abdullin	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Dance with drum	Kristina Karasyova,Evgeny Golovin,Denis Medvedev	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	The Bronze Idol	Igor Tsvirko	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Manu (Dance with Jug)	Maria Prorvich	https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Scene "Shadows"		https://www.bolshoi.ru/en/performances/1/roles/#all
La Bayadere	Ballet in three acts	20130504190000	Scene "Shadows"First Variation	Elizaveta Kruteleva	https://www.bolshoi.ru/en/performances/1/roles/#all
