opera_title	 opera_description	 date	 role	 artist	 url
Iolanta	02 January Wed, 19:00       17 February Sat, 19:00       06 April Fri, 19:00-Iolanta-opera in two acts music by Pyotr Tchaikovsky	2013-1-02	René 	Yury Monchak	https://www.mikhailovsky.ru/en/afisha/performances/detail/225847/
Iolanta	02 January Wed, 19:00       17 February Sat, 19:00       06 April Fri, 19:00-Iolanta-opera in two acts music by Pyotr Tchaikovsky	2013-1-02	Iolanta 	Maria Litke	https://www.mikhailovsky.ru/en/afisha/performances/detail/225847/
Iolanta	02 January Wed, 19:00       17 February Sat, 19:00       06 April Fri, 19:00-Iolanta-opera in two acts music by Pyotr Tchaikovsky	2013-1-02	Count Vaudémont 	Dmitry Karpov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225847/
Iolanta	02 January Wed, 19:00       17 February Sat, 19:00       06 April Fri, 19:00-Iolanta-opera in two acts music by Pyotr Tchaikovsky	2013-1-02	Robert 	Boris Pinkhasovich	https://www.mikhailovsky.ru/en/afisha/performances/detail/225847/
Iolanta	02 January Wed, 19:00       17 February Sat, 19:00       06 April Fri, 19:00-Iolanta-opera in two acts music by Pyotr Tchaikovsky	2013-1-02	Ibn-Hakkia 	Nikolay Kopylov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225847/
Iolanta	02 January Wed, 19:00       17 February Sat, 19:00       06 April Fri, 19:00-Iolanta-opera in two acts music by Pyotr Tchaikovsky	2013-1-02	Conductor 	Valentin Bogdanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225847/
The Nutcracker	03 January Thu, 13:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-03	Masha  	Sabina Yapparova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225849/
The Nutcracker	03 January Thu, 13:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-03	Prince 	Mikhail Sivakov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225849/
The Nutcracker	03 January Thu, 19:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-03	Masha  	Anna Ol	https://www.mikhailovsky.ru/en/afisha/performances/detail/225851/
The Nutcracker	03 January Thu, 19:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-03	Prince 	Victor Lebedev	https://www.mikhailovsky.ru/en/afisha/performances/detail/225851/
Getting to Know the Orchestra	04 January Fri, 12:00       28 January Sun, 12:00       28 January Sun, 14:00-Getting to Know the Orchestra-Backstage Story Subscription	2013-1-04	Conductor 	Valentin Bogdanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225856/
Getting to Know the Orchestra	04 January Fri, 14:00       28 January Sun, 12:00       28 January Sun, 14:00-Getting to Know the Orchestra-Backstage Story Subscription	2013-1-04	Conductor 	Valentin Bogdanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225858/
La traviata	04 January Fri, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-04	Violetta 	Natalia Mironova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225860/
La traviata	04 January Fri, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-04	Alfredo 	Suren Maksutov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225860/
La traviata	04 January Fri, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-04	Germont 	Nikolay Kopylov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225860/
La traviata	04 January Fri, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-04	Flora 	Ekaterina Kanevskaya	https://www.mikhailovsky.ru/en/afisha/performances/detail/225860/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	Cinderella 	Svetlana Monchak	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	Prince 	Alexander Kuznetsov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	The King 	Alexey Kuligin	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	Stepmother 	Ekaterina Kanevskaya	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	Anna 	Yana Korshikova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	Marianna 	Irina Neklyudova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
Cinderella	05 January Sat, 13:00       17 February Sat, 13:00-Cinderella-opera in two acts music by Boris Asafiev	2013-1-05	Conductor 	Valentin Bogdanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225863/
La Sylphide	05 January Sat, 19:00-La Sylphide-ballet in two actsmusic by Herman von Lovenskjold	2013-1-05	Sylphide 	Olesya Novikova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225865/
La Sylphide	05 January Sat, 19:00-La Sylphide-ballet in two actsmusic by Herman von Lovenskjold	2013-1-05	James 	Leonid Sarafanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225865/
La Sylphide	06 January Sun, 13:00-La Sylphide-ballet in two actsmusic by Herman von Lovenskjold	2013-1-06	Sylphide 	Ekaterina Borchenko	https://www.mikhailovsky.ru/en/afisha/performances/detail/225867/
La Sylphide	06 January Sun, 13:00-La Sylphide-ballet in two actsmusic by Herman von Lovenskjold	2013-1-06	James 	Victor Lebedev	https://www.mikhailovsky.ru/en/afisha/performances/detail/225867/
La traviata	06 January Sun, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-06	Violetta 	Svetlana Monchak	https://www.mikhailovsky.ru/en/afisha/performances/detail/225869/
La traviata	06 January Sun, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-06	Alfredo 	Dmitry Karpov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225869/
La traviata	06 January Sun, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-06	Germont 	Dmitry Darov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225869/
La traviata	06 January Sun, 19:00       13 February Tue, 19:00       04 March Sun, 19:00-La traviata-opera in two actsmusic by Giuseppe Verdi	2013-1-06	Flora 	Ekaterina Egorova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225869/
The Nutcracker	07 January Mon, 13:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-07	Masha  	Anna Ol	https://www.mikhailovsky.ru/en/afisha/performances/detail/225871/
The Nutcracker	07 January Mon, 19:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-07	Masha  	Sabina Yapparova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225873/
The Nutcracker	07 January Mon, 19:00-The Nutcracker-ballet in two acts music by Pyotr Tchaikovsky	2013-1-07	Prince 	Andrey Yakhnyuk	https://www.mikhailovsky.ru/en/afisha/performances/detail/225873/
Concert of the Mikhailovsky Orchestra and Chorus	08 January Tue, 19:00-Concert of the Mikhailovsky Orchestra and Chorus	2013-1-08	Conductor 	Mikhail Tatarnikov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225880/
The Sleeping Beauty	10 January Thu, 19:00       31 January Wed, 19:00       01 February Thu, 19:00       02 February Fri, 19:00       28 March Wed, 19:00       29 March Thu, 19:00-The Sleeping Beauty-ballet in three acts and a prologuemusic by Pyotr Tchaikovsky	2013-1-10	Princess Aurora 	Oksana Bondareva	https://www.mikhailovsky.ru/en/afisha/performances/detail/225884/
The Sleeping Beauty	10 January Thu, 19:00       31 January Wed, 19:00       01 February Thu, 19:00       02 February Fri, 19:00       28 March Wed, 19:00       29 March Thu, 19:00-The Sleeping Beauty-ballet in three acts and a prologuemusic by Pyotr Tchaikovsky	2013-1-10	Prince Desire 	Victor Lebedev	https://www.mikhailovsky.ru/en/afisha/performances/detail/225884/
The Sleeping Beauty	10 January Thu, 19:00       31 January Wed, 19:00       01 February Thu, 19:00       02 February Fri, 19:00       28 March Wed, 19:00       29 March Thu, 19:00-The Sleeping Beauty-ballet in three acts and a prologuemusic by Pyotr Tchaikovsky	2013-1-10	Lilac Fairy 	Ekaterina Borchenko	https://www.mikhailovsky.ru/en/afisha/performances/detail/225884/
The Sleeping Beauty	11 January Fri, 19:00       31 January Wed, 19:00       01 February Thu, 19:00       02 February Fri, 19:00       28 March Wed, 19:00       29 March Thu, 19:00-The Sleeping Beauty-ballet in three acts and a prologuemusic by Pyotr Tchaikovsky	2013-1-11	Princess Aurora 	Olesya Novikova	https://www.mikhailovsky.ru/en/afisha/performances/detail/225886/
The Sleeping Beauty	11 January Fri, 19:00       31 January Wed, 19:00       01 February Thu, 19:00       02 February Fri, 19:00       28 March Wed, 19:00       29 March Thu, 19:00-The Sleeping Beauty-ballet in three acts and a prologuemusic by Pyotr Tchaikovsky	2013-1-11	Prince Desire 	Leonid Sarafanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225886/
The Sleeping Beauty	11 January Fri, 19:00       31 January Wed, 19:00       01 February Thu, 19:00       02 February Fri, 19:00       28 March Wed, 19:00       29 March Thu, 19:00-The Sleeping Beauty-ballet in three acts and a prologuemusic by Pyotr Tchaikovsky	2013-1-11	Lilac Fairy 	Irina Kosheleva	https://www.mikhailovsky.ru/en/afisha/performances/detail/225886/
Tosca	12 January Sat, 19:00       24 February Sat, 19:00-Tosca-opera in three acts music by Giacomo Puccini	2013-1-12	Floria Tosca 	Maria Litke	https://www.mikhailovsky.ru/en/afisha/performances/detail/225888/
Tosca	12 January Sat, 19:00       24 February Sat, 19:00-Tosca-opera in three acts music by Giacomo Puccini	2013-1-12	Mario Cavaradossi 	Fyodor Ataskevich	https://www.mikhailovsky.ru/en/afisha/performances/detail/225888/
Tosca	12 January Sat, 19:00       24 February Sat, 19:00-Tosca-opera in three acts music by Giacomo Puccini	2013-1-12	Baron Scarpia 	Alexander Kuznetsov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225888/
Tosca	12 January Sat, 19:00       24 February Sat, 19:00-Tosca-opera in three acts music by Giacomo Puccini	2013-1-12	Cesare Angelotti 	Boris Pinkhasovich	https://www.mikhailovsky.ru/en/afisha/performances/detail/225888/
Tosca	12 January Sat, 19:00       24 February Sat, 19:00-Tosca-opera in three acts music by Giacomo Puccini	2013-1-12	Spoletta 	Evgeny Akhmedov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225888/
Tosca	12 January Sat, 19:00       24 February Sat, 19:00-Tosca-opera in three acts music by Giacomo Puccini	2013-1-12	Sciarrone 	Anton Puzanov	https://www.mikhailovsky.ru/en/afisha/performances/detail/225888/
