opera_title	 opera_description	 date	 role	 artist	 url
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Frog	Galina Kuznetsova	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Mouse	Irina Novikova	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Rooster	Victor Ditenbir	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Hedgehog	Andrey Isakov	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Fox	Daria Shuvalova	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Bear	Konstantin Buinov	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Wolf	Karen Movsesyan	https://novat.nsk.ru/en/afisha/performances/detail/737874/
The Wooden House	opera for children in two acts after the fairy tale by Samuil Marshakmusic by Igor Pol'sky 	2015-11-15	Conductor	Artyom Iyutin	https://novat.nsk.ru/en/afisha/performances/detail/737874/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-28	Boris Godunov	Andrey Triller	https://novat.nsk.ru/en/afisha/performances/detail/732186/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-28	Pimen	Vladimir Ognev	https://novat.nsk.ru/en/afisha/performances/detail/732186/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-28	Vasiliy Shuysky	Jury Komov	https://novat.nsk.ru/en/afisha/performances/detail/732186/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-28	Grigoriy Otrepyev	Roman Zavadsky	https://novat.nsk.ru/en/afisha/performances/detail/732186/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-28	The yuródivïy	Sergey Kuzmin	https://novat.nsk.ru/en/afisha/performances/detail/732186/
Boris Godunov	opera with comments in two actsmusic by Modest Mussorgsky	2015-11-28	Andrey Shchelkalov	Roman Burdenko	https://novat.nsk.ru/en/afisha/performances/detail/732186/
