opera_title	 opera_description	 date	 role	 artist	 url
Giovanni	No info	2015-03-29	No info	No info	http://www.spbopera.ru/en/afisha/2015-03/10-don-zhuan
Rigoletto	No info	2015-04-2	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/6-rigoletto
Onegin	No info	2015-04-4	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/8-evgenij-onegin
	No info	2015-04-5	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/11-ne-tolko-lyubov
Butterfly	No info	2015-04-8	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/12-madam-batterflyaj
past	No info	2015-04-9	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/14-lyubimye-melodii-proshlyh-let
Pagliacci	No info	2015-04-10	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/15-payatsy
Hélène	No info	2015-04-11	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/16-prekrasnaya-elena
Giovanni	No info	2015-04-15	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/18-don-zhuan
Donizetti	No info	2015-04-17	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/19-gala-donitsetti
traviata	No info	2015-04-18	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/20-traviata
Favourites	No info	2015-04-19	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/21-shostakovich-izbrannoe
	No info	2015-04-22	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/22-ah-operetta-operetta
Monastery	No info	2015-04-23	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/23-obruchenie-v-monastyre
Tosca	No info	2015-04-24	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/24-toska
Verdi	No info	2015-04-25	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/25-gala-verdi
Harp	No info	2015-04-26	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/26-volshebnoj-arfy-zvuk-hrustalnyj
Siviglia	No info	2015-04-26	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/27-sevilskij-tsiryulnik
Fledermaus	No info	2015-04-29	No info	No info	http://www.spbopera.ru/en/afisha/2015-04/28-letuchaya-mysh
Siviglia	No info	2015-05-1	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/29-sevilskij-tsiryulnik
Donizetti	No info	2015-05-2	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/30-gala-donitsetti
Hélène	No info	2015-05-3	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/31-prekrasnaya-elena
	No info	2015-05-4	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/32-venskie-melodii
Romances	No info	2015-05-8	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/34-vecher-russkogo-romansa
Siviglia	No info	2015-05-9	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/35-sevilskij-tsiryulnik
Fledermaus	No info	2015-05-10	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/36-letuchaya-mysh
heart	No info	2015-05-13	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/97-serdtse-soldata
Onegin	No info	2015-05-13	No info	No info	http://www.spbopera.ru/en/afisha/2015-05/38-evgenij-onegin
