city,country
Kabul,Islamic Republic of Afghanistan
Kandahar,Islamic Republic of Afghanistan
Herat,Islamic Republic of Afghanistan
Mazar-i-Sharif,Islamic Republic of Afghanistan
Jalalabad,Islamic Republic of Afghanistan
Kunduz,Islamic Republic of Afghanistan
Lashkargah,Islamic Republic of Afghanistan
Taloqan,Islamic Republic of Afghanistan
Pul-e Khomri,Islamic Republic of Afghanistan
Charikar,Islamic Republic of Afghanistan
Sheberghan,Islamic Republic of Afghanistan
Ghazni,Islamic Republic of Afghanistan
Sar-e Pol,Islamic Republic of Afghanistan
Khost,Islamic Republic of Afghanistan
Chaghcharan,Islamic Republic of Afghanistan
Mihtarlam,Islamic Republic of Afghanistan
Farah,Islamic Republic of Afghanistan
Puli Alam,Islamic Republic of Afghanistan
Samangan,Islamic Republic of Afghanistan
Kabul,Islamic Republic of Afghanistan
Ghazni,Islamic Republic of Afghanistan
Balkh,Islamic Republic of Afghanistan
Herat,Islamic Republic of Afghanistan
Laghman,Islamic Republic of Afghanistan
Jalalabad,Islamic Republic of Afghanistan
Kandahar,Islamic Republic of Afghanistan
Lashkargah,Islamic Republic of Afghanistan
Zaranj,Islamic Republic of Afghanistan
Kunduz,Islamic Republic of Afghanistan
Tiranë,Republic of Albania
Durrës,Republic of Albania
Vlorë,Republic of Albania
Elbasan,Republic of Albania
Shkodër,Republic of Albania
Fier,Republic of Albania
Kamëz,Republic of Albania
Korçë,Republic of Albania
Berat,Republic of Albania
Lushnjë,Republic of Albania
Pogradec,Republic of Albania
Kavajë,Republic of Albania
Gjirokastër,Republic of Albania
Fushë-Krujë,Republic of Albania
Sarandë,Republic of Albania
Laç,Republic of Albania
Kukës,Republic of Albania
Sukth,Republic of Albania
Patos,Republic of Albania
Lezhë,Republic of Albania
Mamurras,Republic of Albania
Peshkopi,Republic of Albania
Kuçovë,Republic of Albania
Krujë,Republic of Albania
Vorë,Republic of Albania
Burrel,Republic of Albania
Rrëshen,Republic of Albania
Milot,Republic of Albania
Divjakë,Republic of Albania
Gramsh,Republic of Albania
Bulqizë,Republic of Albania
Vau i Dejës,Republic of Albania
Shëngjin,Republic of Albania
Klos,Republic of Albania
Ballsh,Republic of Albania
Shijak,Republic of Albania
Ura Vajgurore,Republic of Albania
Rrogozhinë,Republic of Albania
Librazhd,Republic of Albania
Cërrik,Republic of Albania
Manëz,Republic of Albania
Peqin,Republic of Albania
Bilisht,Republic of Albania
Krumë,Republic of Albania
Përmet,Republic of Albania
Prrenjas,Republic of Albania
Delvinë,Republic of Albania
Orikum,Republic of Albania
Bajram Curri,Republic of Albania
Roskovec,Republic of Albania
Rubik,Republic of Albania
Tepelenë,Republic of Albania
Poliçan,Republic of Albania
Maliq,Republic of Albania
Çorovodë,Republic of Albania
Ersekë,Republic of Albania
Koplik,Republic of Albania
Pukë,Republic of Albania
Himarë,Republic of Albania
Këlcyrë,Republic of Albania
Memaliaj,Republic of Albania
Fushë-Arrëz,Republic of Albania
Bajzë,Republic of Albania
Krrabë,Republic of Albania
Selenicë,Republic of Albania
Konispol,Republic of Albania
Libohovë,Republic of Albania
Reps,Republic of Albania
Fierzë,Republic of Albania
Krastë,Republic of Albania
Leskovik,Republic of Albania
Finiq,Republic of Albania
Ulëz,Republic of Albania
Kurbnesh,Republic of Albania
Algiers,People's Democratic Republic of Algeria
Oran,People's Democratic Republic of Algeria
Constantine,People's Democratic Republic of Algeria
Annaba,People's Democratic Republic of Algeria
Blida,People's Democratic Republic of Algeria
Batna,People's Democratic Republic of Algeria
Djelfa,People's Democratic Republic of Algeria
