name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
Abdullaev,1947,,Uzbekistan,Male,Abdullaev,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Abdullaev', 1947, 'Uzbekistan', 'Male', 'Abdullaev')",#VALUE!,Abdullaev,,,"Abdullaev, "
Aboulker Isabelle,1938,,France,Female,Aboulker Isabelle,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aboulker Isabelle', 1938, 'France', 'Female', 'Aboulker Isabelle')",#VALUE!,Aboulker,Isabelle,,"Aboulker, Isabelle"
Abraham,1892,1960,Hungary,Male,Abraham,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Abraham', 1892, 1960, 'Hungary', 'Male', 'Abraham')",#VALUE!,Abraham,,,"Abraham, "
Ada,1953,,Turkey,Male,Ada,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Ada', 1953, 'Turkey', 'Male', 'Ada')",#VALUE!,Ada,,,"Ada, "
AdamA,1803,1856,France,Male,AdamA,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('AdamA', 1803, 'France', 'Male', 'AdamA')",#VALUE!,AdamA,,,"AdamA, "
Adamo,1962,,United States of America,Male,Adamo Mark,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Adamo', 1962, 'United States of America', 'Male', 'Adamo Mark')",#VALUE!,Adamo,Mark,,"Adamo, Mark"
Adams,1947,,United States of America,Male,Adams John ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Adams', 1947, 'United States of America', 'Male', 'Adams John ')",#VALUE!,Adams,John,,"Adams, John"
Aderhold,1966,,Germany,Male,Aderhold,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aderhold', 1966, 'Germany', 'Male', 'Aderhold')",#VALUE!,Aderhold,,,"Aderhold, "
Ades,1971,,United Kingdom,Male,Ades,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Ades', 1971, 'United Kingdom', 'Male', 'Ades')",#VALUE!,Ades,,,"Ades, "
Adigozalov,1935,2006,Azerbaijan,Male,Adigozalov,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Adigozalov', 1935, 2006, 'Azerbaijan', 'Male', 'Adigozalov')",#VALUE!,Adigozalov,,,"Adigozalov, "
Adomaitis,1983,,Lithuania,Male,Adomaitis,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Adomaitis', 1983, 'Lithuania', 'Male', 'Adomaitis')",#VALUE!,Adomaitis,,,"Adomaitis, "
Adwan Moneim,1970,,Palestine,Male,Adwan Moneim,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Adwan Moneim', 1970, 'Palestine', 'Male', 'Adwan Moneim')",#VALUE!,Adwan,Moneim,,"Adwan, Moneim"
Agerfeldt Olesen,1969,,Denmark,Male,Agerfeldt Olesen,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Agerfeldt Olesen', 1969, 'Denmark', 'Male', 'Agerfeldt Olesen')",#VALUE!,Olesen,Thomas Agerfeldt,,"Olesen, Thomas Agerfeldt"
Aguiar,1950,,Brazil,Male,Aguiar,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aguiar', 1950, 'Brazil', 'Male', 'Aguiar')",#VALUE!,Aguiar,,,"Aguiar, "
Aints,1975,,Estonia,Male,Aints,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aints', 1975, 'Estonia', 'Male', 'Aints')",#VALUE!,Aints,,,"Aints, "
Akbasli,1962,,Turkey,Male,Akbasli,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Akbasli', 1962, 'Turkey', 'Male', 'Akbasli')",#VALUE!,Akbasli,,,"Akbasli, "
Akhiyarova,1956,,Russian Federation,Female,Akhiyarova,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Akhiyarova', 1956, 'Russian Federation', 'Female', 'Akhiyarova')",#VALUE!,Akhiyarova,,,"Akhiyarova, "
Akhundova,1924,2013,Azerbaijan,Female,Akhundova,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Akhundova', 1924, 2013, 'Azerbaijan', 'Female', 'Akhundova')",#VALUE!,Akhundova,,,"Akhundova, "
Akyol,1977,,Turkey,Male,Akyol,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Akyol', 1977, 'Turkey', 'Male', 'Akyol')",#VALUE!,Akyol,,,"Akyol, "
Alagna,1975,,France,Male,Alagna,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Alagna', 1975, 'France', 'Male', 'Alagna')",#VALUE!,Alagna,,,"Alagna, "
Albeniz,1860,1909,Spain,Male,Albeniz,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Albeniz', 1860, 1909, 'Spain', 'Male', 'Albeniz')",#VALUE!,Albeniz,,,"Albeniz, "
Albrecht George Alexander,1935,,Germany,Male,Albrecht George Alexander,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Albrecht George Alexander', 1935, 'Germany', 'Male', 'Albrecht George Alexander')",#VALUE!,Albrecht,George,Alexander,"Albrecht, George Alexander"
Aldridge,1954,,United States of America,Male,Aldridge,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aldridge', 1954, 'United States of America', 'Male', 'Aldridge')",#VALUE!,Aldridge,,,"Aldridge, "
Alenius,1978,,Denmark,Female,Alenius,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Alenius', 1978, 'Denmark', 'Female', 'Alenius')",#VALUE!,Alenius,,,"Alenius, "
Alfano,1875,1954,Italy,Male,Alfano Franco,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Alfano', 1875, 1954, 'Italy', 'Male', 'Alfano Franco')",#VALUE!,Alfano,Franco,,"Alfano, Franco"
Alfven,1872,1960,Sweden,Male,Alfven,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Alfven', 1872, 1960, 'Sweden', 'Male', 'Alfven')",#VALUE!,Alfven,,,"Alfven, "
Ali-Zadeh,1947,,Azerbaijan,Female,Ali-Zadeh,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Ali-Zadeh', 1947, 'Azerbaijan', 'Female', 'Ali-Zadeh')",#VALUE!,Ali-Zadeh,,,"Ali-Zadeh, "
Almeida,1702,1755,Portugal,Male,Almeida Francisco António de,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Almeida', 1702, 1755, 'Portugal', 'Male', 'Almeida Francisco António de')",#VALUE!,Almeida,Francisco António de,,"Almeida, Francisco António de"
Alonso,1887,1948,Spain,Male,Alonso,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Alonso', 1887, 1948, 'Spain', 'Male', 'Alonso')",#VALUE!,Alonso,,,"Alonso, "
Altan,1985,,Turkey,Female,Altan,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Altan', 1985, 'Turkey', 'Female', 'Altan')",#VALUE!,Altan,,,"Altan, "
Altieri,1745,1820,Italy,Male,Altieri,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Altieri', 1745, 1820, 'Italy', 'Male', 'Altieri')",#VALUE!,Altieri,,,"Altieri, "
Amirov,1922,1984,Azerbaijan,Male,Amirov Fikret ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Amirov', 1922, 1984, 'Azerbaijan', 'Male', 'Amirov Fikret ')",#VALUE!,Amirov,Fikret,,"Amirov, Fikret"
Anderson,1967,,United Kingdom,Male,Anderson Beth,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Anderson', 1967, 'United Kingdom', 'Male', 'Anderson Beth')",#VALUE!,Anderson,Beth,,"Anderson, Beth"
AnderssonBT,1964,,Sweden,Male,AnderssonBT,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('AnderssonBT', 1964, 'Sweden', 'Male', 'AnderssonBT')",#VALUE!,AnderssonBT,,,"AnderssonBT, "
AndreM,1964,,France,Male,AndreM,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('AndreM', 1964, 'France', 'Male', 'AndreM')",#VALUE!,AndreM,,,"AndreM, "
Andriessen Louis,1939,,Netherlands,Male,Andriessen Louis Hendrik,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Andriessen Louis', 1939, 'Netherlands', 'Male', 'Andriessen Louis Hendrik')",#VALUE!,Andriessen,Louis,Hendrik,"Andriessen, Louis Hendrik"
Androsch,1963,,Austria,Male,Androsch,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Androsch', 1963, 'Austria', 'Male', 'Androsch')",#VALUE!,Androsch,,,"Androsch, "
Angermann,1953,,Germany,Male,Angermann,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Angermann', 1953, 'Germany', 'Male', 'Angermann')",#VALUE!,Angermann,,,"Angermann, "
Antheil,1900,1959,United States of America,Male,Antheil George ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Antheil', 1900, 1959, 'United States of America', 'Male', 'Antheil George ')",#VALUE!,Antheil,George,,"Antheil, George"
Antunes,1942,,Brazil,Male,Antunes Jorge,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Antunes', 1942, 'Brazil', 'Male', 'Antunes Jorge')",#VALUE!,Antunes,Jorge,,"Antunes, Jorge"
Aperghis,1945,,Greece,Male,Aperghis Georges,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aperghis', 1945, 'Greece', 'Male', 'Aperghis Georges')",#VALUE!,Aperghis,Georges,,"Aperghis, Georges"
