,composer,year_birth,year_death,place_birth,place_death,clean_name
0,"Aav, Evald",1900.0,1939.0,reval,tallinn,"Aav, Evald"
1,"Abbà Cornaglia, Pietro",1851.0,1894.0,alessandria,alessandria,"Abbà Cornaglia, Pietro"
4,"Abbadia, Natale",1792.0,1861.0,genova,milano,"Abbadia, Natale"
6,"Abbatini, Antonio Maria",1597.0,1679.0,tiferno,tiferno,"Abbatini, Antonio Maria"
9,"Abeille, (Johann Christian) Ludwig",1761.0,1838.0,bayreuth,stuttgart,"Abeille, Ludwig"
11,"Abert, Johann Joseph",1832.0,1915.0,kochowitz,stuttgart,"Abert, Johann Joseph"
15,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",1715.0,1760.0,valetta,napoli,"Abos, Girolamo"
33,"Abraham [Ábráham], Paul [Pál]",1892.0,1960.0,apatin,hamburg,"Abraham, Paul"
39,"Abramsky, Alexander",1898.0,1985.0,lutsk,,"Abramsky, Alexander"
40,"Ábrányi, Emil",1882.0,1882.0,budapest,budapest,"Ábrányi, Emil"
52,"Absil, Jean",1893.0,1974.0,bonsecours,uccle,"Absil, Jean"
53,"Abt, Franz (Wilhelm)",1819.0,1885.0,eilenburg,wiesbaden,"Abt, Franz"
56,"Acciaiuoli, Filippo",1637.0,1700.0,roma,roma,"Acciaiuoli, Filippo"
57,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",1739.0,1818.0,roma,roma,"Accorimboni, Agostino"
70,"Aceves y Lozano, Rafael",1837.0,1876.0,la,madrid,"Aceves y Lozano, Rafael"
75,"Acton, Carlo [Charles]",1829.0,1909.0,napoli,portici,"Acton, Carlo"
77,"Adalid y Gurréa, Marcial del",1826.0,1881.0,la,lóngora,"Adalid y Gurréa, Marcial del"
78,"Adam, Adolphe(-Charles)",1803.0,1856.0,paris,paris,"Adam, Adolphe"
122,"Ádám, Jenö",1896.0,1982.0,szigetszentmiklós,budapest,"Ádám, Jenö"
124,"Adamo, Mark",1962.0,1962.0,philadelphia,philadelphia,"Adamo, Mark"
126,"Adams, John (Coolidge)",1947.0,1947.0,worcester,worcester,"Adams, John"
130,"Adams, (Harrison) Leslie",1932.0,1932.0,cleveland,cleveland,"Adams, Leslie"
131,"Adaskin, Murray",1906.0,2002.0,toronto,victoria,"Adaskin, Murray"
132,"Addison, John",1766.0,1844.0,london,london,"Addison, John"
138,"Adelburg, August",1830.0,1873.0,ritter,wien,"Adelburg, August"
141,"Adler, Samuel (Hans)",1928.0,1928.0,mannheim,mannheim,"Adler, Samuel"
145,"Adlgasser, Anton Cajetan",1729.0,1777.0,inzell,salzburg,"Adlgasser, Anton Cajetan"
146,"Adolfati, Andrea",1721.0,1760.0,venezia,padova,"Adolfati, Andrea"
156,"Adomián, Lan",1905.0,1979.0,mogilev,méxico,"Adomián, Lan"
157,"Adrien, Ferdinand",1770.0,1830.0,,,"Adrien, Ferdinand"
158,"Adrien, J.",1768.0,1824.0,,,"Adrien, J."
159,"Aeschbacher, Niklaus",1917.0,1917.0,trogen,trogen,"Aeschbacher, Niklaus"
160,"Afanas'yev, Nikolay Yakovlevich",1821.0,1898.0,tobolk,st,"Afanasyev, Nikolay Yakovlevich"
165,"Agazzari, Agostino",1578.0,1640.0,siena,siena,"Agazzari, Agostino"
166,"Aggházy, Károly",1855.0,1855.0,pest,pest,"Aggházy, Károly"
167,"Agnelli [Agnello], Salvatore",1817.0,1874.0,palermo,marseilles,"Agnelli, Salvatore"
172,"Agnesi, Maria Teresa",1720.0,1795.0,milano,milano,"Agnesi, Maria Teresa"
179,"Agostini, Mezio",1875.0,1944.0,fano,fano,"Agostini, Mezio"
187,"Agostini [Augustini], Pietro Simone [Piersimone]",1635.0,1680.0,forli,parma,"Agostini, Pietro Simone"
196,"Agricola, Johann Friedrich",1720.0,1774.0,dobitzschen,berlin,"Agricola, Johann Friedrich"
206,"Agricola, Johann Paul",1638.0,1697.0,hilpoltstein,neuburg,"Agricola, Johann Paul"
209,"Agthe, Carl Christian",1762.0,1797.0,hettstedt,ballenstedt,"Agthe, Carl Christian"
216,"Ahlefeldt,",,,gräfin,gräfin,"Ahlefeldt,"
218,"Ahlstrom, David",1927.0,1927.0,lancaster,lancaster,"Ahlstrom, David"
221,"Ahlström, Jacob Niclas",1805.0,1857.0,visby,stockholm,"Ahlström, Jacob Niclas"
223,"Åhlström, Olof",1756.0,1835.0,åletorp,stockholm,"Åhlström, Olof"
224,"Aho, Kalevi",1949.0,1949.0,forssa,forssa,"Aho, Kalevi"
225,"Aiblinger, Johann Kaspar",1779.0,1867.0,wasserburg,münchen,"Aiblinger, Johann Kaspar"
227,"Aimon, (Pamphile Léopold) François",1779.0,1866.0,lisle,paris,"Aimon, François"
228,"Aitken, Hugh",1924.0,1924.0,new,new,"Aitken, Hugh"
230,"Åkerberg, (Carl) Erik (Emanuel)",1860.0,1938.0,stockholm,stockholm,"Åkerberg, Erik"
232,"Akimenko [Yakimenko], Fyodor Stepanovich",1876.0,1945.0,khar,paris,"Akimenko, Fyodor Stepanovich"
233,"Akses, Necil Kâzim",1908.0,1999.0,constantinople,istanbul,"Akses, Necil Kâzim"
235,"Akutagawa, Yasushi",1925.0,1989.0,tokyo,tokyo,"Akutagawa, Yasushi"
237,"Alaleona, Domenico",1881.0,1928.0,montegiorgio,montegiorgio,"Alaleona, Domenico"
238,"Alary, Jules [Giulio] Eugène Abraham",1814.0,1891.0,mantova,paris,"Alary, Jules Eugène Abraham"
243,"Albéniz, Isaac (Manuel Francisco",1860.0,1909.0,camprodón,cambô,"Albéniz, Isaac Manuel Francisco"
254,"Albéniz y Basanta, Pedro",1795.0,1855.0,logroño,madrid,"Albéniz y Basanta, Pedro"
255,"Albergati (Capacelli), Pirro",1663.0,1735.0,conte,bologna,"Albergati, Pirro"
258,"d'Albert, Eugen [Eugène] (Francis Charles)",1864.0,1932.0,glasgow,riga,"dAlbert, Eugen"
279,"Albert, Karel",1901.0,1987.0,antwerpen,liedekerke,"Albert, Karel"
280,"Alberti, Domenico",1710.0,1740.0,venezia,formio,"Alberti, Domenico"
284,"Albertini, Joachim [Gioacchino]",1749.0,1812.0,pesaro,warszawa,"Albertini, Joachim"
291,"Albertsen, Per (Hjort)",1919.0,1919.0,trondheim,trondheim,"Albertsen, Per"
292,"Albinoni, Tomaso Giovanni [Zuane]",1671.0,1751.0,venezia,venezia,"Albinoni, Tomaso Giovanni"
349,"Alday, François",,,,,"Alday, François"
350,"Aldrovandini [Aldovrandini, Aldrovandin, Aldrovandon, Altrobrandino], Giuseppe [Gioselfo] (Antonio Vincenzo)",1671.0,1707.0,bologna,bologna,"Aldrovandini, Giuseppe"
373,"Alessandri, Felice",1747.0,1798.0,roma,casinalbo,"Alessandri, Felice"
407,"d'Alessandro [Alessandri], Gennaro",,,,,"dAlessandro, Gennaro"
409,"Alexandra, Liana",1947.0,1947.0,bucuresti,bucuresti,"Alexandra, Liana"
410,"Alexandre [Alessandro], Charles-Guillaume",1735.0,1787.0,,paris,"Alexandre, Charles-Guillaume"
417,"Alexandrov, Anatoly Nikolayevich",1888.0,1982.0,moskva,moskva,"Alexandrov, Anatoly Nikolayevich"
419,"Alfano, Franco",1875.0,1954.0,posillipo,san,"Alfano, Franco"
432,"Alferaki, Achilles",1846.0,1919.0,kharkov,petrograd,"Alferaki, Achilles"
433,"Alfiero [Alfieri], Giuseppe",1630.0,1665.0,napoli,napoli,"Alfiero, Giuseppe"
435,"Alghisi [Algisi], Paris Francesco",1666.0,1733.0,brescia,brescia,"Alghisi, Paris Francesco"
437,"Aliprandi, Bernardo",1710.0,1792.0,milano,frankfurt,"Aliprandi, Bernardo"
441,"Allanbrook, Douglas",1921.0,1921.0,melrose,melrose,"Allanbrook, Douglas"
443,"Allen, Paul Hastings",1883.0,1883.0,hyde,hyde,"Allen, Paul Hastings"
444,"Allende(-Sarón), (Pedro) Humberto",1885.0,1959.0,santiago,santiago,"Allende, Humberto"
445,"Allitsen [Bumpus], (Mary) Frances",1848.0,1912.0,london,london,"Allitsen, Frances"
447,"Almeida, Francisco António de",1702.0,1755.0,lisboa,lisboa,"Almeida, Francisco António de"
452,"Alonso-Crespo, Eduardo",,,,,"Alonso-Crespo, Eduardo"
455,"Alpaerts, Flor",1876.0,1954.0,antwerpen,antwerpen,"Alpaerts, Flor"
456,"Alsina, Carlos Roqué",1941.0,1941.0,buenos,buenos,"Alsina, Carlos Roqué"
457,"Alveri, Giovanni Battista",1660.0,1719.0,bologna,,"Alveri, Giovanni Battista"
459,"Alyabyev [Aliabiyev], Alexander Nilolaievich",1787.0,1851.0,tobolsk,moskva,"Alyabyev, Alexander Nilolaievich"
466,"Amadei [Mattei], Filippo",,,,,"Amadei, Filippo"
469,"Amalia Friederike,",,,fürstin,fürstin,"Amalia Friederike,"
474,"Amato [D'Amato. De Amato, Di Amato], Vincenzo",1629.0,1670.0,ciminna,palermo,"Amato, Vincenzo"
476,"Ambros, Vladimir",1890.0,1956.0,prostejov,prostejov,"Ambros, Vladimir"
478,"d'Ambrosio, Alfredo",1871.0,1914.0,napoli,nice,"dAmbrosio, Alfredo"
479,"Amellér, André (Charles Gabriel)",1912.0,1990.0,arnaville,garenne,"Amellér, André"
483,"Amendola, Giuseppe",1750.0,1808.0,palermo,palermo,"Amendola, Giuseppe"
484,"Amirov, Fikret (Meshadi Dzhamil')",1922.0,1984.0,gyandzha,baku,"Amirov, Fikret"
486,"Amodei, Cataldo",1650.0,1695.0,sciacca,napoli,"Amodei, Cataldo"
487,"Amon, Johannes Andreas",1763.0,1825.0,bamberg,wallerstein,"Amon, Johannes Andreas"
488,"Amram, David (Werner, III)",1930.0,1930.0,philadelphia,philadelphia,"Amram, David"
490,"Anderberg, Carl-Olof",1914.0,1972.0,stockholm,malmö,"Anderberg, Carl-Olof"
491,"Anders, Hendrik",1657.0,1714.0,oberweissbach,amsterdam,"Anders, Hendrik"
494,"Anderson, Beth",1950.0,1950.0,lexington,lexington,"Anderson, Beth"
496,"Anderson, T(homas) J(efferson, Jr.)",1928.0,1928.0,coatesville,coatesville,"Anderson, T J"
498,"Andrasovan, Tibor",1917.0,1917.0,slovenská,slovenská,"Andrasovan, Tibor"
