composer,composer_dob,opera
"Aav, Evald",(7.3.1900 Reval - 21.3.1939 Tallinn),Vikerlased (8.9.1928 Tallinn)
"Abbà Cornaglia, Pietro",(20.3.1851 Alessandria - 2.5.1894 Alessandria),Isabella Spinola (1877 Milano)
"Abbà Cornaglia, Pietro",(20.3.1851 Alessandria - 2.5.1894 Alessandria),Maria di Warden (1884 Milano)
"Abbà Cornaglia, Pietro",(20.3.1851 Alessandria - 2.5.1894 Alessandria),Una partita a scacchi (1892 Pavia)
"Abbadia, Natale",(11.3.1792 Genova - 25.12.1861 Milano),Giannina di Pontieu (1812)
"Abbadia, Natale",(11.3.1792 Genova - 25.12.1861 Milano),L'imbroglione ed il castigamatti ()
"Abbatini, Antonio Maria","(c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)","Dal male il bene (1653 Roma, P Barbieri) [+ M. Marazzoli]"
"Abbatini, Antonio Maria","(c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)",Ione (1664 Wien H)
"Abbatini, Antonio Maria","(c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)","La comica del cielo, overo La Baltasara (1668 Roma, P Rospigliosi)"
"Abeille, (Johann Christian) Ludwig",(20.2.1761 Bayreuth - 2.3.1838 Stuttgart),Amor und Psyche (1800 Stuttgart)
"Abeille, (Johann Christian) Ludwig",(20.2.1761 Bayreuth - 2.3.1838 Stuttgart),Peter und Ännchen (1809 Stuttgart)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),Anna von Landskron (1858)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),König Enzio (1862)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),Astorga (27.5.1866 Stuttgart)
"Abert, Johann Joseph",(20.9.1832 Kochowitz - 1.4.1915 Stuttgart),Ekkehard (11.10.1878 Berlin)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Le due zingare simili (spr.1742 Napoli N)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Il geloso (spr.1743 Napoli F)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Le furbiere di Spilletto (carn.1744 Firenze Coc)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),La serva padrona (1744 Napoli)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),La moglie gelosa (carn.1745 Napoli F)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Ifigenia in Aulide (carn.1745 Napoli SC)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Artaserse (carn.1746 Venezia SGG)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Pelopida (carn.1747 Roma A)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Alessandro nelle Indie (7.1747 Ancona)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Arianna e Teseo (26.12.1748 Roma D)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Adriano in Siria (1750 Roma A)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Tito Manlio (30.5.1751 Napoli SC)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Erifile (carn.1752 Roma D)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Lucio Vero o sia Il vologeso (18.12.1752 Napoli SC)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Medo (carn.1753 Torino TR)
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Andromeda ()
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Ezio ()
"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",(16.11.1715 Valetta - 10.1760 Napoli),Demofoonte ()
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Viktoria und ihr Husar (23.12.1930 Wien)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Die Blume von Hawaii (24.7.1931 Leipzig)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Ball im Savoy (23.12.1932 Berlin)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Märchen im Grand-Hotel (1934 Wien)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Dschainah (1935 Wien)
"Abraham [Ábráham], Paul [Pál]",(2.11.1892 Apatin - 9.5.1960 Hamburg),Roxy und ihr Wunderteam (1937 Wien)
"Abramsky, Alexander",(22.1.1898 Lutsk - 29.8.1985),+1
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),A ködkirály (17.5.1903 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Monna Vanna (2.3.1907 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Paolo és Francesca (13.1.1912 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Don Quijote (30.11.1917 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Ave Maria: Májusi intermezzo (25.2.1922 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),A vak katona (11.6.1923 Budapest)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Ay éneklö dervis (1937; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Liliomos herceg (1938; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Bizánc (1942; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Éva boszorkány (1944; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),Balatoni rege (1945; np)
"Ábrányi, Emil",(22.9.1882 Budapest - 11.2.1970 Budapest),A Tamás-templom karnagya (1947; np)
"Absil, Jean","(23.10.1893 Bonsecours, Hainaut - 2.2.1974 Uccle, Bruxelles)",Les voix de la mer (26.3.1954 Bruxelles)
"Abt, Franz (Wilhelm)",(22.12.1819 Eilenburg - 31.3.1885 Wiesbaden),Des Königs Scharfschütz (1873)
